template_id,version,status,name_tr,goal,level,split,days_per_week,duration_weeks,session_minutes_min,session_minutes_target,session_minutes_max,equipment_profile,progression_rule_id,compatible_focus_muscles,max_extra_sets_per_focus_muscle_week,max_focus_muscles,description_tr,source_basis,modality,library_tier
forge_hypertrophy_beginner_2d_gym_full_body_v01,1,active,Beginner Hipertrofi 2 Gün Full Body,hypertrophy,beginner,full_body,2,8,30,40,50,full_gym,double_progression,"upper_chest,chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",2,1,"Kas gelişimi için dengeli frekans, hacim ve egzersiz sırası.",FORGE Programming Bible + deterministic archetype expansion v2,hypertrophy,reviewed_generated
forge_hypertrophy_intermediate_3d_db_full_body_v02,1,active,Intermediate Hipertrofi 3 Gün Dumbbell,hypertrophy,intermediate,full_body,3,8,45,60,75,dumbbell_only,double_progression,"upper_chest,chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",4,2,"Kas gelişimi için dengeli frekans, hacim ve egzersiz sırası.",FORGE Programming Bible + deterministic archetype expansion v2,hypertrophy,reviewed_generated
forge_hypertrophy_advanced_4d_db_upper_lower_v03,1,active,Advanced Hipertrofi 4 Gün Dumbbell,hypertrophy,advanced,upper_lower,4,8,45,60,75,dumbbell_only,double_progression,"upper_chest,chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",4,2,"Kas gelişimi için dengeli frekans, hacim ve egzersiz sırası.",FORGE Programming Bible + deterministic archetype expansion v2,hypertrophy,reviewed_generated
forge_hypertrophy_beginner_5d_gym_body_part_v04,1,active,Beginner Hipertrofi 5 Gün Body Part,hypertrophy,beginner,body_part,5,8,60,75,90,full_gym,double_progression,"upper_chest,chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",2,1,"Kas gelişimi için dengeli frekans, hacim ve egzersiz sırası.",FORGE Programming Bible + deterministic archetype expansion v2,hypertrophy,reviewed_generated
forge_hypertrophy_intermediate_6d_gym_push_pull_legs_v05,1,active,Intermediate Hipertrofi 6 Gün Push Pull Legs,hypertrophy,intermediate,push_pull_legs,6,8,60,75,90,full_gym,double_progression,"upper_chest,chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",4,2,"Kas gelişimi için dengeli frekans, hacim ve egzersiz sırası.",FORGE Programming Bible + deterministic archetype expansion v2,hypertrophy,reviewed_generated
forge_hypertrophy_advanced_2d_gym_full_body_v06,1,active,Advanced Hipertrofi 2 Gün Full Body,hypertrophy,advanced,full_body,2,8,45,60,75,full_gym,double_progression,"upper_chest,chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",4,2,"Kas gelişimi için dengeli frekans, hacim ve egzersiz sırası.",FORGE Programming Bible + deterministic archetype expansion v2,hypertrophy,reviewed_generated
forge_hypertrophy_beginner_3d_gym_full_body_v07,1,active,Beginner Hipertrofi 3 Gün Full Body,hypertrophy,beginner,full_body,3,8,45,60,75,full_gym,double_progression,"upper_chest,chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",2,1,"Kas gelişimi için dengeli frekans, hacim ve egzersiz sırası.",FORGE Programming Bible + deterministic archetype expansion v2,hypertrophy,reviewed_generated
forge_hypertrophy_intermediate_4d_gym_upper_lower_v08,1,active,Intermediate Hipertrofi 4 Gün Upper Lower,hypertrophy,intermediate,upper_lower,4,8,45,60,75,full_gym,double_progression,"upper_chest,chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",4,2,"Kas gelişimi için dengeli frekans, hacim ve egzersiz sırası.",FORGE Programming Bible + deterministic archetype expansion v2,hypertrophy,reviewed_generated
forge_hypertrophy_advanced_5d_gym_body_part_v09,1,active,Advanced Hipertrofi 5 Gün Body Part,hypertrophy,advanced,body_part,5,8,60,75,90,full_gym,double_progression,"upper_chest,chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",4,2,"Kas gelişimi için dengeli frekans, hacim ve egzersiz sırası.",FORGE Programming Bible + deterministic archetype expansion v2,hypertrophy,reviewed_generated
forge_hypertrophy_beginner_6d_gym_push_pull_legs_v10,1,active,Beginner Hipertrofi 6 Gün Push Pull Legs,hypertrophy,beginner,push_pull_legs,6,8,60,75,90,full_gym,double_progression,"upper_chest,chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",2,1,"Kas gelişimi için dengeli frekans, hacim ve egzersiz sırası.",FORGE Programming Bible + deterministic archetype expansion v2,hypertrophy,reviewed_generated
forge_hypertrophy_intermediate_2d_db_full_body_v11,1,active,Intermediate Hipertrofi 2 Gün Dumbbell,hypertrophy,intermediate,full_body,2,8,30,40,50,dumbbell_only,double_progression,"upper_chest,chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",4,2,"Kas gelişimi için dengeli frekans, hacim ve egzersiz sırası.",FORGE Programming Bible + deterministic archetype expansion v2,hypertrophy,reviewed_generated
forge_hypertrophy_advanced_3d_db_full_body_v12,1,active,Advanced Hipertrofi 3 Gün Dumbbell,hypertrophy,advanced,full_body,3,8,45,60,75,dumbbell_only,double_progression,"upper_chest,chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",4,2,"Kas gelişimi için dengeli frekans, hacim ve egzersiz sırası.",FORGE Programming Bible + deterministic archetype expansion v2,hypertrophy,reviewed_generated
forge_hypertrophy_beginner_4d_gym_upper_lower_v13,1,active,Beginner Hipertrofi 4 Gün Upper Lower,hypertrophy,beginner,upper_lower,4,8,45,60,75,full_gym,double_progression,"upper_chest,chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",2,1,"Kas gelişimi için dengeli frekans, hacim ve egzersiz sırası.",FORGE Programming Bible + deterministic archetype expansion v2,hypertrophy,reviewed_generated
forge_hypertrophy_intermediate_5d_gym_body_part_v14,1,active,Intermediate Hipertrofi 5 Gün Body Part,hypertrophy,intermediate,body_part,5,8,60,75,90,full_gym,double_progression,"upper_chest,chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",4,2,"Kas gelişimi için dengeli frekans, hacim ve egzersiz sırası.",FORGE Programming Bible + deterministic archetype expansion v2,hypertrophy,reviewed_generated
forge_hypertrophy_advanced_6d_gym_push_pull_legs_v15,1,active,Advanced Hipertrofi 6 Gün Push Pull Legs,hypertrophy,advanced,push_pull_legs,6,8,60,75,90,full_gym,double_progression,"upper_chest,chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",4,2,"Kas gelişimi için dengeli frekans, hacim ve egzersiz sırası.",FORGE Programming Bible + deterministic archetype expansion v2,hypertrophy,reviewed_generated
forge_hypertrophy_beginner_2d_gym_full_body_v16,1,active,Beginner Hipertrofi 2 Gün Full Body,hypertrophy,beginner,full_body,2,8,45,60,75,full_gym,double_progression,"upper_chest,chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",2,1,"Kas gelişimi için dengeli frekans, hacim ve egzersiz sırası.",FORGE Programming Bible + deterministic archetype expansion v2,hypertrophy,reviewed_generated
forge_hypertrophy_intermediate_3d_gym_full_body_v17,1,active,Intermediate Hipertrofi 3 Gün Full Body,hypertrophy,intermediate,full_body,3,8,45,60,75,full_gym,double_progression,"upper_chest,chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",4,2,"Kas gelişimi için dengeli frekans, hacim ve egzersiz sırası.",FORGE Programming Bible + deterministic archetype expansion v2,hypertrophy,reviewed_generated
forge_hypertrophy_advanced_4d_gym_upper_lower_v18,1,active,Advanced Hipertrofi 4 Gün Upper Lower,hypertrophy,advanced,upper_lower,4,8,45,60,75,full_gym,double_progression,"upper_chest,chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",4,2,"Kas gelişimi için dengeli frekans, hacim ve egzersiz sırası.",FORGE Programming Bible + deterministic archetype expansion v2,hypertrophy,reviewed_generated
forge_hypertrophy_beginner_5d_gym_body_part_v19,1,active,Beginner Hipertrofi 5 Gün Body Part,hypertrophy,beginner,body_part,5,8,60,75,90,full_gym,double_progression,"upper_chest,chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",2,1,"Kas gelişimi için dengeli frekans, hacim ve egzersiz sırası.",FORGE Programming Bible + deterministic archetype expansion v2,hypertrophy,reviewed_generated
forge_hypertrophy_intermediate_4d_db_upper_lower_v20,1,active,Intermediate Hipertrofi 4 Gün Dumbbell,hypertrophy,intermediate,upper_lower,4,8,45,60,75,dumbbell_only,double_progression,"upper_chest,chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",4,2,"Kas gelişimi için dengeli frekans, hacim ve egzersiz sırası.",FORGE Programming Bible + deterministic archetype expansion v2,hypertrophy,reviewed_generated
forge_hypertrophy_advanced_2d_db_full_body_v21,1,active,Advanced Hipertrofi 2 Gün Dumbbell,hypertrophy,advanced,full_body,2,8,30,40,50,dumbbell_only,double_progression,"upper_chest,chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",4,2,"Kas gelişimi için dengeli frekans, hacim ve egzersiz sırası.",FORGE Programming Bible + deterministic archetype expansion v2,hypertrophy,reviewed_generated
forge_hypertrophy_beginner_3d_gym_full_body_v22,1,active,Beginner Hipertrofi 3 Gün Full Body,hypertrophy,beginner,full_body,3,8,45,60,75,full_gym,double_progression,"upper_chest,chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",2,1,"Kas gelişimi için dengeli frekans, hacim ve egzersiz sırası.",FORGE Programming Bible + deterministic archetype expansion v2,hypertrophy,reviewed_generated
forge_hypertrophy_intermediate_4d_gym_upper_lower_v23,1,active,Intermediate Hipertrofi 4 Gün Upper Lower,hypertrophy,intermediate,upper_lower,4,8,45,60,75,full_gym,double_progression,"upper_chest,chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",4,2,"Kas gelişimi için dengeli frekans, hacim ve egzersiz sırası.",FORGE Programming Bible + deterministic archetype expansion v2,hypertrophy,reviewed_generated
forge_hypertrophy_advanced_5d_gym_body_part_v24,1,active,Advanced Hipertrofi 5 Gün Body Part,hypertrophy,advanced,body_part,5,8,60,75,90,full_gym,double_progression,"upper_chest,chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",4,2,"Kas gelişimi için dengeli frekans, hacim ve egzersiz sırası.",FORGE Programming Bible + deterministic archetype expansion v2,hypertrophy,reviewed_generated
forge_hypertrophy_beginner_6d_gym_push_pull_legs_v25,1,active,Beginner Hipertrofi 6 Gün Push Pull Legs,hypertrophy,beginner,push_pull_legs,6,8,60,75,90,full_gym,double_progression,"upper_chest,chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",2,1,"Kas gelişimi için dengeli frekans, hacim ve egzersiz sırası.",FORGE Programming Bible + deterministic archetype expansion v2,hypertrophy,reviewed_generated
forge_hypertrophy_intermediate_2d_gym_full_body_v26,1,active,Intermediate Hipertrofi 2 Gün Full Body,hypertrophy,intermediate,full_body,2,8,45,60,75,full_gym,double_progression,"upper_chest,chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",4,2,"Kas gelişimi için dengeli frekans, hacim ve egzersiz sırası.",FORGE Programming Bible + deterministic archetype expansion v2,hypertrophy,reviewed_generated
forge_hypertrophy_advanced_3d_gym_full_body_v27,1,active,Advanced Hipertrofi 3 Gün Full Body,hypertrophy,advanced,full_body,3,8,45,60,75,full_gym,double_progression,"upper_chest,chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",4,2,"Kas gelişimi için dengeli frekans, hacim ve egzersiz sırası.",FORGE Programming Bible + deterministic archetype expansion v2,hypertrophy,reviewed_generated
forge_hypertrophy_beginner_4d_gym_upper_lower_v28,1,active,Beginner Hipertrofi 4 Gün Upper Lower,hypertrophy,beginner,upper_lower,4,8,45,60,75,full_gym,double_progression,"upper_chest,chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",2,1,"Kas gelişimi için dengeli frekans, hacim ve egzersiz sırası.",FORGE Programming Bible + deterministic archetype expansion v2,hypertrophy,reviewed_generated
