focus_muscle,goal,priority,action_type,target_movement_pattern,preferred_exercise_ids,max_extra_direct_sets_week,max_frequency_increase_per_week,constraints,user_facing_copy_tr
calves,powerbuilding,high,add_isolation,calf_raise,"standing_calf_raise,seated_calf_raise",4,1,Seans süresini aşmamak için düşük öncelikli izolasyonla yer değiştir.,Calf odağı için ek doğrudan çalışma eklendi.
core,powerbuilding,high,add_core,"anti_extension,anti_rotation","ab_wheel,plank,dead_bug,pallof_press,hanging_leg_raise",4,1,Ana liftlerden önce yorucu core çalışması koyma.,Core odağı için antrenman sonuna kontrollü çalışma eklendi.
upper_chest,strength,high,substitute_or_reorder,incline_push,"incline_barbell_press,incline_dumbbell_press,low_to_high_cable_fly",2,1,Ana lift progresyonunu bozma; aynı seansta üçten fazla press paterni oluşturma.,Üst göğüs odağı için incline hareketlere kontrollü öncelik verildi.
chest,strength,high,add_or_substitute,horizontal_push,"bench_press,dumbbell_bench_press,machine_chest_press,cable_fly",2,1,Sırt hacmini azaltarak göğüs uzmanlaşması yapma; omuz/triceps yorgunluğunu kontrol et.,Göğüs gelişimine küçük ve kontrollü bir hacim önceliği eklendi.
lats,strength,high,substitute_or_add,vertical_pull,"pull_up,lat_pulldown,neutral_grip_pulldown,straight_arm_pulldown",2,1,Yatay çekişi tamamen kaldırma; dirsek fleksör hacmini kontrol et.,Lat odağı için dikey çekişler önceliklendirildi.
upper_back,strength,high,substitute_or_add,horizontal_pull,"chest_supported_row,barbell_row,seated_cable_row,reverse_pec_deck",2,1,Bel yorgunluğu yüksekse chest-supported seç; fazla row tekrarından kaçın.,Üst sırt odağı için yatay çekişler dengeli biçimde güçlendirildi.
side_delts,strength,high,add_isolation,shoulder_abduction,"lateral_raise,cable_lateral_raise",2,1,Press hacmini otomatik artırma; izolasyon setlerini iki güne böl.,Yan omuz için düşük yorgunluklu ek çalışma eklendi.
rear_delts,strength,high,add_isolation,horizontal_abduction,"reverse_pec_deck,face_pull",2,1,Üst sırt row hacmiyle birlikte toplam arka omuz yükünü kontrol et.,Arka omuz odağı için kontrollü aksesuar çalışması eklendi.
biceps,strength,high,add_isolation,elbow_flexion,"incline_dumbbell_curl,barbell_curl,hammer_curl,cable_curl",2,1,Çekiş hacminden gelen dolaylı yükü hesaba kat; dirsek şikâyetinde nötr tutuş seç.,Biceps için sınırlı doğrudan hacim eklendi.
triceps,strength,high,add_isolation,elbow_extension,"triceps_pushdown,overhead_triceps_extension,close_grip_bench",2,1,Bench/OHP hacmini hesaba kat; dirsek stresini izle.,Triceps için sınırlı doğrudan hacim eklendi.
quads,strength,high,substitute_or_add,squat,"back_squat,front_squat,hack_squat,leg_press,leg_extension",2,1,Hinge hacmini tamamen kaldırma; diz toleransına göre seçim yap.,Quadriceps odağı için squat ve diz ekstansiyonu paternleri önceliklendirildi.
hamstrings,strength,high,substitute_or_add,"hinge,knee_flexion","romanian_deadlift,dumbbell_rdl,leg_curl,nordic_curl",2,1,Deadlift gününe aşırı hinge ekleme; bel yorgunluğunu kontrol et.,Hamstring odağı için hinge ve knee-flexion dengesi güçlendirildi.
glutes,strength,high,substitute_or_add,"hinge,lunge","hip_thrust,bulgarian_split_squat,reverse_lunge,romanian_deadlift",2,1,Squat/hinge toplam yorgunluğunu aşma.,Glute odağı için kalça ekstansiyonu ve tek taraflı çalışma artırıldı.
calves,strength,high,add_isolation,calf_raise,"standing_calf_raise,seated_calf_raise",2,1,Seans süresini aşmamak için düşük öncelikli izolasyonla yer değiştir.,Calf odağı için ek doğrudan çalışma eklendi.
core,strength,high,add_core,"anti_extension,anti_rotation","ab_wheel,plank,dead_bug,pallof_press,hanging_leg_raise",2,1,Ana liftlerden önce yorucu core çalışması koyma.,Core odağı için antrenman sonuna kontrollü çalışma eklendi.
upper_chest,general_fitness,high,substitute_or_reorder,incline_push,"incline_barbell_press,incline_dumbbell_press,low_to_high_cable_fly",4,1,Ana lift progresyonunu bozma; aynı seansta üçten fazla press paterni oluşturma.,Üst göğüs odağı için incline hareketlere kontrollü öncelik verildi.
chest,general_fitness,high,add_or_substitute,horizontal_push,"bench_press,dumbbell_bench_press,machine_chest_press,cable_fly",4,1,Sırt hacmini azaltarak göğüs uzmanlaşması yapma; omuz/triceps yorgunluğunu kontrol et.,Göğüs gelişimine küçük ve kontrollü bir hacim önceliği eklendi.
lats,general_fitness,high,substitute_or_add,vertical_pull,"pull_up,lat_pulldown,neutral_grip_pulldown,straight_arm_pulldown",4,1,Yatay çekişi tamamen kaldırma; dirsek fleksör hacmini kontrol et.,Lat odağı için dikey çekişler önceliklendirildi.
upper_back,general_fitness,high,substitute_or_add,horizontal_pull,"chest_supported_row,barbell_row,seated_cable_row,reverse_pec_deck",4,1,Bel yorgunluğu yüksekse chest-supported seç; fazla row tekrarından kaçın.,Üst sırt odağı için yatay çekişler dengeli biçimde güçlendirildi.
side_delts,general_fitness,high,add_isolation,shoulder_abduction,"lateral_raise,cable_lateral_raise",4,1,Press hacmini otomatik artırma; izolasyon setlerini iki güne böl.,Yan omuz için düşük yorgunluklu ek çalışma eklendi.
rear_delts,general_fitness,high,add_isolation,horizontal_abduction,"reverse_pec_deck,face_pull",4,1,Üst sırt row hacmiyle birlikte toplam arka omuz yükünü kontrol et.,Arka omuz odağı için kontrollü aksesuar çalışması eklendi.
biceps,general_fitness,high,add_isolation,elbow_flexion,"incline_dumbbell_curl,barbell_curl,hammer_curl,cable_curl",4,1,Çekiş hacminden gelen dolaylı yükü hesaba kat; dirsek şikâyetinde nötr tutuş seç.,Biceps için sınırlı doğrudan hacim eklendi.
triceps,general_fitness,high,add_isolation,elbow_extension,"triceps_pushdown,overhead_triceps_extension,close_grip_bench",4,1,Bench/OHP hacmini hesaba kat; dirsek stresini izle.,Triceps için sınırlı doğrudan hacim eklendi.
quads,general_fitness,high,substitute_or_add,squat,"back_squat,front_squat,hack_squat,leg_press,leg_extension",4,1,Hinge hacmini tamamen kaldırma; diz toleransına göre seçim yap.,Quadriceps odağı için squat ve diz ekstansiyonu paternleri önceliklendirildi.
hamstrings,general_fitness,high,substitute_or_add,"hinge,knee_flexion","romanian_deadlift,dumbbell_rdl,leg_curl,nordic_curl",4,1,Deadlift gününe aşırı hinge ekleme; bel yorgunluğunu kontrol et.,Hamstring odağı için hinge ve knee-flexion dengesi güçlendirildi.
glutes,general_fitness,high,substitute_or_add,"hinge,lunge","hip_thrust,bulgarian_split_squat,reverse_lunge,romanian_deadlift",4,1,Squat/hinge toplam yorgunluğunu aşma.,Glute odağı için kalça ekstansiyonu ve tek taraflı çalışma artırıldı.
calves,general_fitness,high,add_isolation,calf_raise,"standing_calf_raise,seated_calf_raise",4,1,Seans süresini aşmamak için düşük öncelikli izolasyonla yer değiştir.,Calf odağı için ek doğrudan çalışma eklendi.
core,general_fitness,high,add_core,"anti_extension,anti_rotation","ab_wheel,plank,dead_bug,pallof_press,hanging_leg_raise",4,1,Ana liftlerden önce yorucu core çalışması koyma.,Core odağı için antrenman sonuna kontrollü çalışma eklendi.
