template_id,version,status,name_tr,goal,level,split,days_per_week,duration_weeks,session_minutes_min,session_minutes_target,session_minutes_max,equipment_profile,progression_rule_id,compatible_focus_muscles,max_extra_sets_per_focus_muscle_week,max_focus_muscles,description_tr,source_basis
forge_hypertrophy_intermediate_5d_v1,1,active,Yoğun Hipertrofi 5 Gün,hypertrophy,intermediate,body_part,5,10,55,70,85,full_gym,double_progression,"chest,upper_chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",4,2,"Beş güne yayılmış, kas gruplarını haftada birden fazla uyaran hipertrofi planı.",Forge Programming Bible v1 + aggregate dataset patterns + evidence-informed guardrails
forge_hypertrophy_bodypart_intermediate_5d_v1,1,active,Klasik Hipertrofi 5 Gün,hypertrophy,intermediate,body_part,5,10,55,70,85,full_gym,double_progression,"chest,upper_chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",4,2,"Klasik bölgesel görünümde, ancak ikincil maruziyetlerle dengelenmiş program.",Forge Programming Bible v1 + aggregate dataset patterns + evidence-informed guardrails
forge_hypertrophy_ppl_intermediate_6d_v1,1,active,Push Pull Legs 6 Gün,hypertrophy,intermediate,push_pull_legs,6,8,50,65,80,full_gym,double_progression,"chest,upper_chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",3,2,"Orta seviye, yüksek frekanslı PPL; toparlanması iyi kullanıcılar için.",Forge Programming Bible v1 + aggregate dataset patterns + evidence-informed guardrails
forge_hypertrophy_upper_lower_advanced_4d_v1,1,active,İleri Hipertrofi Upper/Lower,hypertrophy,advanced,upper_lower,4,10,70,85,100,full_gym,double_progression,"chest,upper_chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",3,2,İleri seviye için daha yüksek ama kontrollü hacimli upper/lower.,Forge Programming Bible v1 + aggregate dataset patterns + evidence-informed guardrails
forge_hypertrophy_ppl_advanced_6d_v1,1,active,İleri PPL 6 Gün,hypertrophy,advanced,push_pull_legs,6,10,60,75,90,full_gym,double_progression,"chest,upper_chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes,calves",2,2,İleri seviye için daha yüksek hacim; agresif adaptasyon kabul etmez.,Forge Programming Bible v1 + aggregate dataset patterns + evidence-informed guardrails
forge_powerbuilding_intermediate_4d_v1,1,active,Güç ve Kas 4 Gün,powerbuilding,intermediate,powerbuilding,4,10,65,80,95,full_gym,powerbuilding_hybrid,"chest,upper_chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes",4,2,"Ana liftlerde güç, sonrasında hipertrofi aksesuarları.",Forge Programming Bible v1 + aggregate dataset patterns + evidence-informed guardrails
forge_powerbuilding_intermediate_5d_v1,1,active,Powerbuilding 5 Gün,powerbuilding,intermediate,powerbuilding,5,10,60,75,90,full_gym,powerbuilding_hybrid,"chest,upper_chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes",4,2,Ana liftleri ayrı günlere dağıtan beş günlük hibrit program.,Forge Programming Bible v1 + aggregate dataset patterns + evidence-informed guardrails
forge_powerbuilding_advanced_4d_v1,1,active,İleri Güç ve Kas 4 Gün,powerbuilding,advanced,powerbuilding,4,12,75,90,105,full_gym,powerbuilding_hybrid,"chest,upper_chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes",2,2,"İleri seviye, daha yüksek özgüllük ve sınırlı otomatik adaptasyon.",Forge Programming Bible v1 + aggregate dataset patterns + evidence-informed guardrails
forge_powerbuilding_advanced_5d_v1,1,active,İleri Powerbuilding 5 Gün,powerbuilding,advanced,powerbuilding,5,12,65,80,95,full_gym,powerbuilding_hybrid,"chest,upper_chest,lats,upper_back,side_delts,rear_delts,biceps,triceps,quads,hamstrings,glutes",2,2,"İleri seviye, daha yüksek özgüllük ve sınırlı otomatik adaptasyon.",Forge Programming Bible v1 + aggregate dataset patterns + evidence-informed guardrails
forge_general_fitness_beginner_gym_3d_v1,1,active,Genel Fitness Başlangıç 3 Gün,general_fitness,beginner,full_body,3,8,35,50,65,full_gym,linear_beginner,"chest,lats,upper_back,side_delts,quads,hamstrings,glutes,core",4,2,Temel hareket paternlerini kapsayan sade ve sürdürülebilir plan.,Forge Programming Bible v1 + aggregate dataset patterns + evidence-informed guardrails
forge_general_fitness_beginner_gym_4d_v1,1,active,Genel Fitness 4 Gün,general_fitness,beginner,upper_lower,4,8,30,45,60,full_gym,double_progression,"chest,lats,upper_back,side_delts,quads,hamstrings,glutes,core",4,2,Kısa seanslarla dört güne dağıtılmış genel fitness.,Forge Programming Bible v1 + aggregate dataset patterns + evidence-informed guardrails
forge_general_fitness_dumbbell_beginner_3d_v1,2,active,Dambıl ile Full Body 3 Gün,general_fitness,beginner,full_body,3,8,30,45,60,dumbbell_only,double_progression,"chest,lats,upper_back,side_delts,quads,hamstrings,glutes,core",4,2,Dambıl ve bench ile uygulanabilen başlangıç programı.,Forge Programming Bible v1 + aggregate dataset patterns + evidence-informed guardrails
forge_home_bodyweight_beginner_3d_v1,2,active,Evde Başlangıç 3 Gün,general_fitness,beginner,home_bodyweight,3,8,25,35,50,bodyweight_home,bodyweight_rep_leverage,"chest,front_delts,triceps,lats,upper_back,quads,hamstrings,glutes,core",4,2,Evde başlangıç programı; çekiş çalışması için direnç bandı önerilir.,Forge Programming Bible v1 + aggregate dataset patterns + evidence-informed guardrails
forge_home_band_beginner_3d_v1,1,active,Evde Band ile 3 Gün,general_fitness,beginner,home_bodyweight,3,8,25,40,55,resistance_band_bodyweight,bodyweight_rep_leverage,"chest,lats,upper_back,side_delts,quads,hamstrings,glutes,core",4,2,Direnç bandı sayesinde itiş ve çekiş dengesi kurulan ev programı.,Forge Programming Bible v1 + aggregate dataset patterns + evidence-informed guardrails
forge_general_fitness_intermediate_3d_v1,1,active,Atletik Genel Fitness 3 Gün,general_fitness,intermediate,full_body,3,8,45,60,75,full_gym,double_progression,"chest,lats,upper_back,quads,hamstrings,glutes,core",4,2,"Direnç, taşıma ve kısa kondisyon bloklarını birleştirir.",Forge Programming Bible v1 + aggregate dataset patterns + evidence-informed guardrails
forge_general_fitness_intermediate_4d_v1,1,active,Atletik Upper/Lower 4 Gün,general_fitness,intermediate,upper_lower,4,8,40,55,70,full_gym,double_progression,"chest,lats,upper_back,side_delts,quads,hamstrings,glutes,core",4,2,Orta seviye kullanıcı için direnç ve kondisyon dengesi.,Forge Programming Bible v1 + aggregate dataset patterns + evidence-informed guardrails
